Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
SCRM,Screaming Eagle Acquisition Corp. Class A Ordinary Shares,0.0,United States,2022.0,Finance,Blank Checks
SCRMW,Screaming Eagle Acquisition Corp. Warrant,0.0,United States,2022.0,Finance,Blank Checks
SCS,Steelcase Inc. Common Stock,1248405657.0,United States,1998.0,Consumer Discretionary,Office Equipment/Supplies/Services
SCSC,ScanSource Inc. Common Stock,798784205.0,United States,,Technology,Retail: Computer Software & Peripheral Equipment
SCTL,Societal CDMO Inc. Common Stock,35239766.0,United States,2014.0,Health Care,Biotechnology: Pharmaceutical Preparations
SCU,Sculptor Capital Management Inc. Class A Common Stock,758242568.0,United States,,Finance,Investment Managers
SCVL,Shoe Carnival Inc. Common Stock,677152501.0,United States,1993.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores
SCWO,374Water Inc. Common Stock,177773923.0,United States,,Consumer Discretionary,Metal Fabrications
SCWX,SecureWorks Corp. Class A Common Stock,544144806.0,United States,2016.0,Technology,Computer Software: Prepackaged Software
SCX,L.S. Starrett Company (The) Common Stock,82202980.0,United States,,Consumer Discretionary,Industrial Machinery/Components
SCYX,SCYNEXIS Inc. Common Stock,73845741.0,United States,2014.0,Health Care,Biotechnology: Pharmaceutical Preparations
SD,SandRidge Energy Inc. Common Stock,609194538.0,United States,2016.0,Energy,Oil & Gas Production
SDA,SunCar Technology Group Inc. Class A Ordinary Shares,0.0,Hong Kong,2021.0,Finance,Blank Checks
SDAWW,SunCar Technology Group Inc. Warrant,0.0,Hong Kong,2021.0,Finance,Blank Checks
SDGR,Schrodinger Inc. Common Stock,1612276093.0,United States,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
