Symbol,Average Return,Risk,Return-to-Risk
ELF,0.034519669442510705,0.1482011868763182,0.23292437915034522
DHT,0.02900052102849213,0.12452566034009765,0.23288791201176928
USLM,0.017824504098305976,0.07674238182262333,0.23226415019935423
AVID,0.033380267246926866,0.14438304233117236,0.2311924358150199
TT,0.017676090890354317,0.07649003181593865,0.2310901233887453
WST,0.02151767147649612,0.09337026904676102,0.23045527978204491
HWKN,0.022946614745738402,0.10009775858131462,0.2292420436876983
CDW,0.017672327892040384,0.07733181265628271,0.22852597508076933
ACLS,0.03378456194328154,0.14800564612302708,0.2282653589796076
AMRK,0.03295344150077198,0.14462605213473034,0.2278527347899485
NOA,0.03218227455137227,0.14190147665788547,0.22679309130067393
WK,0.027671717826500894,0.1220650391854631,0.22669650549537823
UNH,0.014620454103592554,0.06452612725755505,0.22658192464015756
NSIT,0.02562500036619736,0.11332454070009891,0.22612048730037335
NVMI,0.02318076157287483,0.10265820948677525,0.22580523943251754
IESC,0.023757836833122978,0.10532765749341885,0.22556123812596354
ACGL,0.017860356302700504,0.07918497132866269,0.2255523491770915
MPWR,0.02413138495548364,0.10751160914604344,0.22445376036278689
RMBS,0.026727049858125428,0.11923329289124034,0.2241576090874613
MYRG,0.02252705782125595,0.10057220307326081,0.22398890680406333
ACMR,0.05716798492124819,0.2553539477871902,0.22387742745568004
TSCO,0.016845846399984096,0.07529059671157667,0.22374436032851736
GWW,0.01909018742218638,0.08566526997354565,0.22284628797739894
DDS,0.03581605298699132,0.16147492650935807,0.2218056621002125
DKS,0.027484535719424823,0.12424794865924627,0.2212071588787513
HUBS,0.030469803665819847,0.1378440839029647,0.22104542177718017
RACE,0.016465092225563503,0.07499930962257154,0.21953658384887617
WIRE,0.024202418115974973,0.11048795116699761,0.21905029336089413
VRTV,0.04890670046717794,0.22478150811374503,0.2175743942532405
BX,0.02217406271288037,0.10231070642686857,0.21673257362102502
LNG,0.020258255624401502,0.09352010406999298,0.21661925877712535
TPCS,0.0553052154870916,0.2555434665199076,0.21642195059908978
ATKR,0.038370229104506895,0.17737729417052062,0.21631984682109257
INOD,0.0525767259262452,0.2434791976214419,0.21593929354075977
GLOB,0.026226916213006234,0.12148805055797725,0.2158806244116171
COR,0.013642066502311239,0.06319992254480437,0.21585574717500575
TNK,0.035939049531623114,0.16679887738770124,0.2154633777785428
ICFI,0.015106988571094299,0.07014044596074652,0.21538198630143857
KBR,0.02054018329156654,0.09546014350589455,0.2151702536493485
INFU,0.03156210274339318,0.14686918609550143,0.21489941888062197
MANH,0.025215161613194644,0.11733565632091265,0.21489769098176992
NSSC,0.030576538160960447,0.14246434402256336,0.2146259007525263
CHE,0.013279498051274501,0.06191416285023605,0.21448239691774937
CALX,0.03854499917898239,0.1800461972956637,0.21408393933300093
STE,0.015261475192869387,0.07133798528036767,0.21393196251463764
TNDM,0.049164210703700674,0.22986362582791228,0.21388425648739887
AMTX,0.09992031533880716,0.47017239036881603,0.21251846638724775
OPXS,0.026706631564780505,0.12570519490822488,0.21245447798938255
FDS,0.013708610534612095,0.06455818129350899,0.21234505464593115
CYBR,0.026400992457487938,0.12442363496341047,0.21218631384022607
TDG,0.020752399114669196,0.09802308566699716,0.21170930269598934
ASML,0.020717278685438337,0.09786372024336752,0.21169518830797157
PAG,0.021772048972891762,0.10306161145803466,0.21125275129000923
EP,0.07593530156207738,0.359876628134515,0.21100370411855204
WING,0.030838862687066957,0.1464213439603533,0.2106172628453488
AON,0.014145394981592414,0.0673059966557537,0.21016544861434996
PG,0.010879248500242094,0.051814105699165856,0.209966926060778
DSGX,0.016520307725425454,0.07869149791699398,0.20993764463413242
GPI,0.025246853856243222,0.1203105981293692,0.20984729731869045
TMUS,0.013225082553586103,0.0631706519444366,0.20935485302919732
BXC,0.05396236303054637,0.2579663752417914,0.20918370845800174
WSC,0.02385602976594442,0.11407747761663087,0.20912129426734932
TJX,0.014706804958969885,0.0703384219938767,0.20908636477870066
EME,0.01688434951136087,0.08075453238356184,0.20908237609704491
FCNCA,0.023168541084061123,0.11085022085827681,0.20900762221919567
VEEV,0.02094263967443894,0.1005132423913417,0.2083570201914306
CASY,0.014585295311873013,0.07029810817307956,0.2074777784341344
LINC,0.035257223095892506,0.16995645586079774,0.20744856626552519
NDAQ,0.013453634017182659,0.06490409662536484,0.20728482047656932
WM,0.011497668412802324,0.05572561012901604,0.2063264697539049
SAVA,0.12144794740817337,0.5899137945727234,0.20587405910068357
VCEL,0.036402172259901104,0.17685040311695832,0.20583595863124426
LRCX,0.02350929910137516,0.11421919508977556,0.20582616680932658
MRK,0.012229010943737054,0.05944014574539236,0.2057365571766791
BOOT,0.036247854162380154,0.1762332422303671,0.20568113996903029
AZN,0.012372734224822528,0.06017715084313701,0.2056051848827867
FTAI,0.02784229949402832,0.13551229649493576,0.20545957978853097
PFSI,0.02368773910537079,0.11546397808331131,0.20515263286944138
PMTS,0.06515860926264015,0.3183424421692603,0.20468087389992382
GOLF,0.017069803981138196,0.08348714905806645,0.20446025734171272
TWNK,0.015763502667222096,0.07710396859999553,0.20444476404322215
VRSK,0.014515302152587086,0.07111784491497236,0.20410210925178351
TEAM,0.02520049993823376,0.12366284319411783,0.20378392803629516
MGRC,0.014801800943190132,0.07298273506288687,0.20281236282027384
PCTY,0.025220046318986347,0.12446738115514956,0.20262374033201005
RGEN,0.02420774971409642,0.11953929344264956,0.20250872342415496
RLI,0.014390559231325938,0.07107075040839546,0.20248216247377637
INSW,0.02513693778531543,0.12417503658184627,0.2024314908797886
ERIE,0.0170107802536355,0.08419227455020954,0.20204680707955958
TBBK,0.02670398501468898,0.13246911126825736,0.2015865038953263
ADBE,0.018390766274694204,0.09173273301256865,0.200482048999613
UMC,0.025314228274128037,0.12626855556062944,0.20047927341635813
KEYS,0.017477490738882762,0.08725374952511268,0.20030647203135413
APCX,0.12072478528615256,0.6029396238330083,0.20022698876328754
IPAR,0.020829212815969257,0.10450639739454469,0.1993104090779476
ZTS,0.012856248469113861,0.06456213827487614,0.1991298431656309
EGY,0.05038223574403866,0.25323588212059617,0.19895377907008296
SMLR,0.03595358236072936,0.18071357931862098,0.19895340735484318
FRPT,0.024553605456022313,0.12351776293342645,0.19878602779793061
ESOA,0.04700014959471903,0.2364965517947624,0.19873503117925767
STN,0.014409712917346731,0.07267959012331775,0.19826354128989057
IMKTA,0.01749461114030078,0.08827610159577313,0.19818060408252627
CECO,0.027416288346056004,0.1384070695356368,0.1980844507295699
HLI,0.01477643085847551,0.07468038664909094,0.1978622704232528
GRBK,0.026746534283084312,0.13534874238395975,0.19761198967929278
SHOP,0.031380371500315,0.15903103421631845,0.19732231293692365
UUUU,0.04113836398249214,0.20904276983257572,0.19679400543458275
HSY,0.010356884823373623,0.05267143628978145,0.19663190436640735
SIM,0.023481375703158815,0.1196982529822147,0.19617141535597668
FAST,0.015331867283618635,0.07815713051199313,0.19616722342775844
FLGT,0.04671691174899551,0.23847237843437366,0.1959007246696781
APLS,0.04032848453507539,0.2061470768032854,0.1956296696535678
ELP,0.023398411462764133,0.11972925300297452,0.1954276910270444
COKE,0.024496380838913454,0.12608238831992227,0.1942886803250917
ODV,1.099536517890099,5.669361492068917,0.1939436247676713
TPL,0.031093800218143956,0.160397910473928,0.19385414763989783
CYTK,0.02977610335143834,0.1536907794775038,0.19374033662049817
CAR,0.04242141124206658,0.21908412793817453,0.19363069174065356
NRP,0.023022201448411578,0.11897318709920905,0.19350747853139283
TGLS,0.03721052731023368,0.19273093557176352,0.19306982140590662
CLH,0.020025265139896317,0.10381879754395544,0.19288669887953477
CACI,0.014730777497758585,0.07650542387797693,0.192545531428642
CQP,0.015658390833069802,0.08135483007730136,0.19247032804557004
LQDT,0.03402770832324322,0.17690601434636996,0.19234907557534633
MA,0.014711845952695493,0.07649382278716034,0.19232724181703348
WCN,0.010636901164837844,0.055388532972448626,0.1920415760086813
IRDM,0.022234640365582432,0.11596417544979781,0.19173714881634335
OFG,0.020598493900148573,0.10746623526735237,0.1916740997663503
WTS,0.01466414385934398,0.07682338811581384,0.19088124357698585
MORN,0.019296541573678137,0.10124621652648276,0.19059024856134532
HEI,0.017203224650815745,0.09027056606809257,0.19057401986201206
IRM,0.014482940595373172,0.07600342588873321,0.1905564180301
NTRA,0.03271784402536285,0.17175720598590227,0.1904889162440632
MATX,0.02219993499158271,0.11658239842218697,0.19042269924134453
EGP,0.012656668337553027,0.0664715450492621,0.190407313808836
SPXC,0.018047126910023876,0.09500282001413703,0.18996411798448035
WSM,0.02477622744830107,0.13047798305061376,0.18988818549325764
DHR,0.013223091590655744,0.06965924786664265,0.1898253569428477
DAC,0.04113673219776564,0.2170544167555134,0.1895226681523896
NECB,0.013938490302485104,0.07354931728184702,0.18951216432195644
POOL,0.016516865635346854,0.08757114417177778,0.18861082370863747
CSL,0.016042753785221475,0.08508595458102934,0.18854761475283896
