Company,Symbol,Country,Exchange,Sector,Market Cap
Rentokil Initial Plc.,RTO,🇬🇧,London Stock Exchange,Support Services,£11.7bn
Repsol S.A,REP,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€19.0bn
Rexel,RXL,🇫🇷,Euronext Paris,Retailers,€5.7bn
Rheinmetall AG,RHM,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€11.3bn
Rightmove Plc,RMV,🇬🇧,London Stock Exchange,Media,£3.9bn
Rio Tinto plc,RIO,🇬🇧,London Stock Exchange,Mining,£61.7bn
Roche Holding AG,ROG,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.167.9bn
Rockwool AS - Class B Shares,ROCK B,🇩🇰,Copenhagen Stock Exchange,Technology Hardware & Equipment,kr.16.6bn
Rolls-Royce Holdings Plc,RR.,🇬🇧,London Stock Exchange,Aerospace & Defence,£16.7bn
Rotork plc,ROR,🇬🇧,London Stock Exchange,Industrial Engineering,£2.5bn
Royal Boskalis Westminster N.V.,BOKA,🇳🇱,Euronext Amsterdam,Support Services,€4.2bn
Royal Unibrew AS,RBREW,🇩🇰,Copenhagen Stock Exchange,Beverages,kr.25.7bn
RS Group Plc,RS1,🇬🇧,London Stock Exchange,Support Services,£3.1bn
RTL Group,RTLL,🇱🇺,Luxembourg Stock Exchange,Media,€5.1bn
Rubis,RUI,🇫🇷,Euronext Paris,Support Services,€2.1bn
RWE AG - Class A Shares,RWE,🇩🇪,Frankfurt Stock Exchange,Electricity,€23.2bn
Ryanair Holdings Plc,RYA,🇮🇪,Irish Stock Exchange,Travel & Leisure,€16.3bn
SAAB AB - Class B Shares,SAAB B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr74.3bn
Safran SA,SAF,🇫🇷,Euronext Paris,Aerospace & Defence,€61.9bn
Sage Group plc,SGE,🇬🇧,London Stock Exchange,Software & Computer Services,£9.8bn
Sainsbury (J) plc,SBRY,🇬🇧,London Stock Exchange,Food and Drug Retailers,£6.0bn
Saipem Spa,SPM,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€1.5bn
Salmar Asa,SALM,🇳🇴,Oslo Stock Exchange,Food Producers,kr74.3bn
Sampo Plc - Class A Shares,SAMPO,🇫🇮,Helsinki Stock Exchange,Nonlife Insurance,€18.7bn
Sandvik AB,SAND,🇸🇪,Stockholm Stock Exchange,General Industrials,kr232.6bn
Sanofi,SAN,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€125.0bn
Santander Bank Polska S. A.,SPL,🇵🇱,Warsaw Stock Exchange,Banks,zł41.6bn
Sap SE,SAP,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€152.2bn
Sartorius AG - Preference Share,SRT3,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€9.0bn
